[20:15:19 Tue 24/11/2020]  |  file:     index.html  |  pid=    3087  |  ppid=    3032  |  execution time=      1009 ms
[20:15:19 Tue 24/11/2020]  |  file:        sea.jpg  |  pid=    3088  |  ppid=    3032  |  execution time=      1007 ms
[20:15:20 Tue 24/11/2020]  |  file:     index.html  |  pid=    3089  |  ppid=    3032  |  execution time=      1007 ms
[20:15:20 Tue 24/11/2020]  |  file:        sea.jpg  |  pid=    3090  |  ppid=    3032  |  execution time=      1014 ms
[20:15:20 Tue 24/11/2020]  |  file:     index.html  |  pid=    3091  |  ppid=    3032  |  execution time=      1003 ms
[20:15:20 Tue 24/11/2020]  |  file:        sea.jpg  |  pid=    3092  |  ppid=    3032  |  execution time=      1006 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3280  |  ppid=    3195  |  execution time=      1002 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3281  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3282  |  ppid=    3195  |  execution time=      1002 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3283  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3284  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3285  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3286  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3287  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3288  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3289  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3290  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3291  |  ppid=    3195  |  execution time=      1001 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3292  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3293  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3294  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3295  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3296  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3297  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3298  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3299  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3300  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3301  |  ppid=    3195  |  execution time=      1000 ms
[20:35:10 Tue 24/11/2020]  |  file:     index.html  |  pid=    3302  |  ppid=    3195  |  execution time=      1000 ms
